2023-03-09 21:49:44,334 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2023-03-09 21:49:44,357 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2023-03-09 21:49:44,358 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2023-03-09 21:49:44,359 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2023-03-09 21:49:44,360 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2023-03-09 21:49:44,361 INFO  SwAddin.cs: 197 - Setting up callbacks
2023-03-09 21:49:44,361 INFO  SwAddin.cs: 201 - Setting up command manager
2023-03-09 21:49:44,362 INFO  SwAddin.cs: 204 - Adding command manager
2023-03-09 21:49:44,364 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2023-03-09 21:49:44,365 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2023-03-09 21:49:44,366 INFO  SwAddin.cs: 210 - Adding event handlers
2023-03-09 21:49:44,368 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2023-03-09 21:50:11,720 INFO  SwAddin.cs: 294 - Assembly export called for file »úÐµ±Û£¨5Öá£©
2023-03-09 21:52:57,984 INFO  SwAddin.cs: 294 - Assembly export called for file »úÐµ±Û£¨5Öá£©
2023-03-09 21:53:00,229 INFO  SwAddin.cs: 313 - Saving assembly
2023-03-09 21:53:00,635 INFO  SwAddin.cs: 316 - Opening property manager
2023-03-09 21:53:00,646 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from »úÐµ±Û£¨5Öá£©
2023-03-09 21:53:00,650 INFO  ExportHelperExtension.cs: 1136 - Found 73 in »úÐµ±Û£¨5Öá£©
2023-03-09 21:53:00,651 INFO  ExportHelperExtension.cs: 1145 - Found 5 features of type [CoordSys] in »úÐµ±Û£¨5Öá£©
2023-03-09 21:53:00,653 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2023-03-09 21:53:00,654 INFO  ExportHelperExtension.cs: 1160 - 5 components to check
2023-03-09 21:53:00,656 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from ±Û-1
2023-03-09 21:53:00,657 INFO  ExportHelperExtension.cs: 1136 - Found 157 in ±Û-1
2023-03-09 21:53:00,658 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in ±Û-1
2023-03-09 21:53:00,659 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from µ××ù°å19-1
2023-03-09 21:53:00,659 INFO  ExportHelperExtension.cs: 1136 - Found 27 in µ××ù°å19-1
2023-03-09 21:53:00,660 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in µ××ù°å19-1
